,parent_message_ts,thread_count
0,2022-06-28 16:33:01.290328979,1
1,2022-06-29 10:09:13.184149027,1
2,2022-06-30 00:56:51.026209116,1
3,2022-07-06 22:59:32.668278933,2
4,2022-07-18 15:11:32.612978935,1
5,2022-07-26 01:55:58.115859032,1
6,2022-08-02 14:05:47.311079025,1
7,2022-08-02 14:11:07.384679079,2
8,2022-08-05 13:15:39.599379063,1
9,2022-08-22 08:21:37.435599089,1
10,2022-08-31 09:09:36.066739082,1
11,2022-09-11 10:38:37.459538937,1
12,2022-09-12 17:40:26.345098972,2
13,2022-09-13 16:56:22.862668991,1
14,2022-09-15 20:52:58.723329067,1
15,2022-09-18 10:23:54.418159008,2
16,2022-09-19 15:18:57.963689089,1
17,2022-09-22 19:29:28.343818903,2
18,2022-10-19 22:43:44.701808929,1
19,2022-11-01 21:24:21.846079111,1
20,2022-11-14 14:40:11.261898994,1
21,2022-11-17 15:00:10.961828947,1
22,2022-11-22 14:51:04.320118904,1
23,2022-12-12 14:22:46.528568983,1
24,2023-01-29 07:53:50.178929090,1
25,2023-05-21 07:54:38.975538969,1
26,2023-05-24 14:31:45.777399063,1
27,2023-06-01 07:31:33.920258999,1
28,2023-06-25 11:58:03.582648993,2
29,2023-06-27 16:11:15.544688940,1
30,2023-06-30 05:58:24.950459003,1
31,2023-07-02 10:24:46.647938967,1
32,2023-07-11 12:54:02.305938959,1
33,2023-07-16 14:21:03.733669043,2
34,2023-07-20 08:39:08.669298887,1
35,2023-07-24 07:05:55.228049040,2
36,2023-07-27 14:03:01.262428999,1
37,2023-07-28 04:44:31.583858967,1
38,2023-07-31 08:40:36.089939117,2
39,2023-08-02 06:18:12.107309103,1
40,2023-08-03 14:03:11.649369001,2
41,2023-08-03 17:16:43.052198887,1
42,2023-08-10 13:44:30.908169031,1
43,2023-08-16 13:44:17.663849115,2
44,2023-08-18 13:24:39.952949047,1
45,2023-08-23 13:58:54.715858936,1
46,2023-08-30 05:34:39.143218994,2
47,2023-09-03 06:10:44.224448919,1
48,2023-09-07 16:03:22.061969042,1
49,2023-09-11 18:28:08.718478918,1
50,2023-09-13 13:18:47.447829008,1
51,2023-09-14 19:02:04.358369112,1
52,2023-09-15 02:40:07.879079103,1
53,2023-09-18 16:19:02.714719057,1
54,2023-09-25 20:55:11.981468916,1
55,2023-09-27 09:35:14.569608927,3
56,2023-10-03 12:02:04.666718960,1
57,2023-10-05 00:27:30.087178946,1
58,2023-10-05 13:24:16.602709055,1
59,2023-10-12 16:42:30.267539024,1
60,2023-10-13 16:38:08.606609106,1
61,2023-10-15 13:22:02.121879101,3
62,2023-10-17 14:08:39.791508913,1
63,2023-10-17 19:46:48.523529052,1
64,2023-10-25 14:20:17.447418928,1
65,2023-10-29 09:55:08.591018915,1
66,2023-10-29 10:00:26.416949034,2
67,2023-10-29 11:28:40.679239035,2
68,2023-10-30 04:04:52.910499096,1
69,2023-10-30 19:22:12.232669115,2
70,2023-10-30 21:42:41.811659098,1
71,2023-10-31 13:09:52.586118937,1
72,2023-11-01 22:47:50.502839088,1
73,2023-11-07 15:59:51.033209085,1
74,2023-11-07 16:50:22.145529032,1
75,2023-11-07 22:18:52.069899082,1
76,2023-11-08 02:49:26.253058910,1
77,2023-11-13 08:15:47.720778942,2
78,2023-11-14 18:42:20.309108973,1
79,2023-11-15 00:53:59.630589008,1
80,2023-11-15 21:58:00.518508910,4
81,2023-11-24 13:07:52.530599116,3
82,2023-11-25 14:43:45.308319092,1
83,2023-11-27 15:22:13.934719086,1
84,2023-11-28 21:45:58.222249031,1
85,2023-12-01 17:41:23.072349072,1
86,2023-12-02 13:27:06.507009029,1
